Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1769003085,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1769003086,5,,Aggregated,0.000000,0.000000,81,170,180,190,210,210,210,210,210,210,210,10,0,64,99.81121000018902,14.317599998321384,207.85030000843108,20091.4
1769003087,10,,Aggregated,0.000000,0.000000,64,110,130,140,180,190,210,210,210,210,210,22,0,56,77.90870454945517,11.209000018425286,207.85030000843108,19579.136363636364
1769003088,20,,Aggregated,10.000000,0.000000,54,98,130,160,190,210,220,220,220,220,220,39,1,54,78.81879487346548,11.209000018425286,218.67469997960143,20614.897435897437
1769003089,25,,Aggregated,10.500000,0.000000,54,84,140,170,210,220,240,240,240,240,240,56,1,47,82.58183392847839,11.209000018425286,244.9229000194464,20590.125
1769003090,30,,Aggregated,12.000000,0.333333,60,100,140,170,210,220,240,250,250,250,250,74,1,57,85.06991756675652,11.209000018425286,246.9701999798417,20704.324324324323
1769003091,35,,Aggregated,13.250000,0.250000,51,77,110,130,180,220,240,250,250,250,250,97,1,51,74.85454329817566,7.560500002000481,246.9701999798417,20451.505154639177
1769003092,40,,Aggregated,14.200000,0.200000,54,81,130,170,210,240,320,320,320,320,320,119,1,54,84.66065462122029,7.289700006367639,320.7280999922659,19765.025210084033
1769003093,45,,Aggregated,15.833333,0.166667,47,76,130,160,210,240,320,320,320,320,320,142,1,47,80.83784084461308,7.289700006367639,320.7280999922659,18989.936619718308
1769003094,50,,Aggregated,16.428571,0.142857,52,84,130,160,210,240,320,320,320,320,320,150,2,51,83.46950133311718,7.289700006367639,320.7280999922659,18192.38
1769003095,50,,Aggregated,17.500000,0.125000,63,120,150,180,240,1500,1700,1700,1800,1800,1800,173,4,63,173.6546248553194,7.289700006367639,1800.170700007584,17626.20231213873
1769003096,50,,Aggregated,16.444444,0.222222,68,130,170,200,320,1700,2000,2000,2000,2000,2000,185,5,68,239.5247610808174,7.289700006367639,2015.991699998267,17698.308108108107
1769003097,50,,Aggregated,16.700000,0.400000,81,150,210,300,1700,2000,2100,2200,2200,2200,2200,217,9,81,389.3781797232134,7.289700006367639,2195.566800015513,18527.63594470046
1769003098,50,,Aggregated,17.100000,0.500000,76,150,210,320,1700,2000,2100,2200,2200,2200,2200,239,9,76,372.9139983260207,7.289700006367639,2195.566800015513,18748.73640167364
1769003099,50,,Aggregated,19.000000,0.900000,67,130,200,240,1700,2000,2100,2200,2200,2200,2200,268,9,66,335.4037276114278,7.289700006367639,2195.566800015513,18466.69776119403
